Empresa,AvisosActivos,Provincia,Empleados,Empleados_Min,Empleados_Max,Empleados_Promedio
De Prati,2,Guayas,,0,0,0.0
Pronaca,11,Pichincha,,0,0,0.0
CORPORACION EL ROSADO,20,Guayas,,0,0,0.0
DHL Express,1,Pichincha,51 y 150,51,150,100.5
GrupoLucky Ecuador,72,Guayas,501 y 1000,501,1000,750.5
Danec,14,Pichincha,1001 y 5000,1001,5000,3000.5
Banco Internacional,2,Pichincha,1001 y 5000,1001,5000,3000.5
"Corporación Proauto (Proauto, Mirasol, E.Maulme)",9,Pichincha,501 y 1000,501,1000,750.5
Quifatex Ecuador,9,Pichincha,501 y 1000,501,1000,750.5
Finanzas Corporativas,5,Cotopaxi,11 y 50,11,50,30.5
CAI RAUL COKA BARRIGA,2,Pichincha,51 y 150,51,150,100.5
Financoop,2,Pichincha,11 y 50,11,50,30.5
COOPERATIVA DE AHORRO Y CREDITO PABLO MUÑOZ VEGA LTDA.,1,Carchi,151 y 300,151,300,225.5
EXPORTQUILSA &amp; PRODUCTORES ASOCIADOS S.A.,1,Guayas,1 y 10,1,10,5.5
L.HENRIQUES &amp; CIA. S.A.,3,Guayas,51 y 150,51,150,100.5
IPAC S.A.,1,No especificado,301 y 500,301,500,400.5
SOLCA,2,No especificado,1001 y 5000,1001,5000,3000.5
SOCIEDAD NACIONAL DE LA CRUZ ROJA ECUATORIANA,2,No especificado,151 y 300,151,300,225.5
HEINEKEN ECUADOR S.A.,3,Guayas,301 y 500,301,500,400.5
MANPOWER,17,Pichincha,11 y 50,11,50,30.5
FORTIUS,11,Guayas,11 y 50,11,50,30.5
DK CORP INTERNATIONAL DKCORP-INT S.A,5,No especificado,301 y 500,301,500,400.5
LINDE ECUADOR,2,Pichincha,151 y 300,151,300,225.5
novopan del ecuador,2,Pichincha,151 y 300,151,300,225.5
GENTE+,15,Guayas,1 y 10,1,10,5.5
INALECSA,1,Guayas,501 y 1000,501,1000,750.5
